name	type	units
A1	EEG	uV
A2	EEG	uV
A3	EEG	uV
A4	EEG	uV
A5	EEG	uV
A6	EEG	uV
A7	EEG	uV
A8	EEG	uV
A9	EEG	uV
A10	EEG	uV
A11	EEG	uV
A12	EEG	uV
A13	EEG	uV
A14	EEG	uV
A15	EEG	uV
A16	EEG	uV
A17	EEG	uV
A18	EEG	uV
A19	EEG	uV
A20	EEG	uV
A21	EEG	uV
A22	EEG	uV
A23	EEG	uV
A24	EEG	uV
A25	EEG	uV
A26	EEG	uV
A27	EEG	uV
A28	EEG	uV
A29	EEG	uV
A30	EEG	uV
A31	EEG	uV
A32	EEG	uV
B1	EEG	uV
B2	EEG	uV
B3	EEG	uV
B4	EEG	uV
B5	EEG	uV
B6	EEG	uV
B7	EEG	uV
B8	EEG	uV
B9	EEG	uV
B10	EEG	uV
B11	EEG	uV
B12	EEG	uV
B13	EEG	uV
B14	EEG	uV
B15	EEG	uV
B16	EEG	uV
B17	EEG	uV
B18	EEG	uV
B19	EEG	uV
B20	EEG	uV
B21	EEG	uV
B22	EEG	uV
B23	EEG	uV
B24	EEG	uV
B25	EEG	uV
B26	EEG	uV
B27	EEG	uV
B28	EEG	uV
B29	EEG	uV
B30	EEG	uV
B31	EEG	uV
B32	EEG	uV
C1	EEG	uV
C2	EEG	uV
C3	EEG	uV
C4	EEG	uV
C5	EEG	uV
C6	EEG	uV
C7	EEG	uV
C8	EEG	uV
C9	EEG	uV
C10	EEG	uV
C11	EEG	uV
C12	EEG	uV
C13	EEG	uV
C14	EEG	uV
C15	EEG	uV
C16	EEG	uV
C17	EEG	uV
C18	EEG	uV
C19	EEG	uV
C20	EEG	uV
C21	EEG	uV
C22	EEG	uV
C23	EEG	uV
C24	EEG	uV
C25	EEG	uV
C26	EEG	uV
C27	EEG	uV
C28	EEG	uV
C29	EEG	uV
C30	EEG	uV
C31	EEG	uV
C32	EEG	uV
D1	EEG	uV
D2	EEG	uV
D3	EEG	uV
D4	EEG	uV
D5	EEG	uV
D6	EEG	uV
D7	EEG	uV
D8	EEG	uV
D9	EEG	uV
D10	EEG	uV
D11	EEG	uV
D12	EEG	uV
D13	EEG	uV
D14	EEG	uV
D15	EEG	uV
D16	EEG	uV
D17	EEG	uV
D18	EEG	uV
D19	EEG	uV
D20	EEG	uV
D21	EEG	uV
D22	EEG	uV
D23	EEG	uV
D24	EEG	uV
D25	EEG	uV
D26	EEG	uV
D27	EEG	uV
D28	EEG	uV
D29	EEG	uV
D30	EEG	uV
D31	EEG	uV
D32	EEG	uV
EXG1	EMG	n/a
EXG2	EMG	n/a
EXG3	EMG	n/a
EXG4	EMG	n/a
EXG5	EMG	n/a
EXG6	EMG	n/a
EXG7	EMG	n/a
EXG8	EMG	n/a
N-A1	MISC	n/a
N-A2	MISC	n/a
N-A3	MISC	n/a
N-A4	MISC	n/a
N-A5	MISC	n/a
N-A6	MISC	n/a
N-A7	MISC	n/a
N-A8	MISC	n/a
N-A9	MISC	n/a
N-A10	MISC	n/a
N-A11	MISC	n/a
N-A12	MISC	n/a
N-A13	MISC	n/a
N-A14	MISC	n/a
N-A15	MISC	n/a
N-A16	MISC	n/a
N-A17	MISC	n/a
N-A18	MISC	n/a
N-A19	MISC	n/a
N-A20	MISC	n/a
N-A21	MISC	n/a
N-A22	MISC	n/a
N-A23	MISC	n/a
N-A24	MISC	n/a
N-A25	MISC	n/a
N-A26	MISC	n/a
N-A27	MISC	n/a
N-A28	MISC	n/a
N-A29	MISC	n/a
N-A30	MISC	n/a
N-A31	MISC	n/a
N-A32	MISC	n/a
N-B1	MISC	n/a
N-B2	MISC	n/a
N-B3	MISC	n/a
N-B4	MISC	n/a
N-B5	MISC	n/a
N-B6	MISC	n/a
N-B7	MISC	n/a
N-B8	MISC	n/a
N-B9	MISC	n/a
N-B10	MISC	n/a
N-B11	MISC	n/a
N-B12	MISC	n/a
N-B13	MISC	n/a
N-B14	MISC	n/a
N-B15	MISC	n/a
N-B16	MISC	n/a
N-B17	MISC	n/a
N-B18	MISC	n/a
N-B19	MISC	n/a
N-B20	MISC	n/a
N-B21	MISC	n/a
N-B22	MISC	n/a
N-B23	MISC	n/a
N-B24	MISC	n/a
N-B25	MISC	n/a
N-B26	MISC	n/a
N-B27	MISC	n/a
N-B28	MISC	n/a
N-B29	MISC	n/a
N-B30	MISC	n/a
N-B31	MISC	n/a
N-B32	MISC	n/a
N-C1	MISC	n/a
N-C2	MISC	n/a
N-C3	MISC	n/a
N-C4	MISC	n/a
N-C5	MISC	n/a
N-C6	MISC	n/a
N-C7	MISC	n/a
N-C8	MISC	n/a
N-C9	MISC	n/a
N-C10	MISC	n/a
N-C11	MISC	n/a
N-C12	MISC	n/a
N-C13	MISC	n/a
N-C14	MISC	n/a
N-C15	MISC	n/a
N-C16	MISC	n/a
N-C17	MISC	n/a
N-C18	MISC	n/a
N-C19	MISC	n/a
N-C20	MISC	n/a
N-C21	MISC	n/a
N-C22	MISC	n/a
N-C23	MISC	n/a
N-C24	MISC	n/a
N-C25	MISC	n/a
N-C26	MISC	n/a
N-C27	MISC	n/a
N-C28	MISC	n/a
N-C29	MISC	n/a
N-C30	MISC	n/a
N-C31	MISC	n/a
N-C32	MISC	n/a
N-D1	MISC	n/a
N-D2	MISC	n/a
N-D3	MISC	n/a
N-D4	MISC	n/a
N-D5	MISC	n/a
N-D6	MISC	n/a
N-D7	MISC	n/a
N-D8	MISC	n/a
N-D9	MISC	n/a
N-D10	MISC	n/a
N-D11	MISC	n/a
